Player Name,Age,Position,Current Club,Club Ranking Group,Club Rankings,Valuation,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,England,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Nathan Aké,27,Defender,AFC Bournemouth,Eleven_Fifteen,14,30,3412,1710,1702,Netherlands,No,38,19,19,4,3,1,0,0,0,0,0,10,6,4,66,23,43,3,0,0.11,0,0.11,0.16,0.05,853,1.74,52,90,1137,0,0.08,150,337,148,5
Aaron Lennon,35,Midfielder,Burnley,Eleven_Fifteen,15,5,1217,487,730,England,Yes,16,7,9,1,1,0,1,1,0,0,0,4,2,2,20,8,12,1,0,0.15,0.07,0.07,0.18,0,1217,1.48,61,76,1217,1217,0.07,196,187,-1,10
Ashley Barnes,32,Forward,Burnley,Eleven_Fifteen,15,10,2400,1307,1093,England,Yes,37,19,18,12,6,6,2,1,1,2,0,8,5,3,34,16,18,8,0,0.53,0.08,0.45,0.41,0.49,200,1.28,71,65,300,1200,0.3,27,172,-1,1
Ben Mee,33,Defender,Burnley,Eleven_Fifteen,15,10,3420,1710,1710,England,Yes,38,19,19,0,0,0,2,1,1,0,0,8,5,3,57,27,30,9,0,0.05,0.05,0,0,0,0,1.5,60,90,380,1710,0.24,380,211,118,21
Jack Cork,33,Midfielder,Burnley,Eleven_Fifteen,15,15,3313,1693,1620,England,Yes,37,19,18,1,1,0,2,1,1,0,0,8,5,3,54,27,27,6,0,0.08,0.05,0.03,0.05,0,3313,1.47,61,90,552,1657,0.16,249,204,-1,11
Jeff Hendrick,30,Midfielder,Burnley,Eleven_Fifteen,15,10,2069,898,1171,Republic of Ireland,No,32,15,17,3,1,2,0,0,0,0,0,6,3,3,41,18,23,4,0,0.13,0,0.13,0.1,0.15,690,1.78,50,65,517,0,0.17,131,349,-1,6
Joe Hart,35,Goalkeeper,Burnley,Eleven_Fifteen,15,6,1710,810,900,England,Yes,19,9,10,0,0,0,0,0,0,0,0,4,2,2,34,17,17,0,0,0,0,0,0,0,0,1.79,50,90,0,0,0,367,341,149,16
Tom Heaton,36,Goalkeeper,Burnley,Eleven_Fifteen,15,3,1710,900,810,England,Yes,19,10,9,0,0,0,0,0,0,0,0,4,3,1,23,10,13,3,0,0,0,0,0,0,0,1.21,74,90,570,0,0.16,382,354,68,18
Alex McCarthy,32,Goalkeeper,Southampton,Sixteen_Twenty,16,5,2250,1170,1080,England,Yes,25,13,12,0,0,0,0,0,0,0,0,4,2,2,37,16,21,1,0,0,0,0,0,0,0,1.48,61,90,2250,0,0.04,372,365,114,21
Angus Gunn,26,Goalkeeper,Southampton,Sixteen_Twenty,16,10,1080,540,540,England,Yes,12,6,6,0,0,0,0,0,0,0,0,3,1,2,17,9,8,0,0,0,0,0,0,0,0,1.42,64,90,0,0,0,376,339,104,25
Danny Ings,30,Forward,Southampton,Sixteen_Twenty,16,15,1668,922,746,England,Yes,24,13,11,7,3,4,3,3,0,3,0,6,2,4,26,13,13,1,0,0.54,0.16,0.38,0.29,0.48,238,1.4,64,70,1668,556,0.05,39,87,-1,2
James Ward-Prowse,27,Midfielder,Southampton,Sixteen_Twenty,16,18,1942,942,1000,England,Yes,26,13,13,7,5,2,0,0,0,1,0,4,2,2,36,15,21,4,0,0.32,0,0.32,0.48,0.18,277,1.67,54,75,486,0,0.19,58,347,-1,1
Matt Targett,27,Defender,Southampton,Sixteen_Twenty,16,7,1185,483,702,England,Yes,16,7,9,1,1,0,3,2,1,0,0,1,0,1,24,10,14,2,0,0.3,0.23,0.08,0.19,0,1185,1.82,49,74,593,395,0.15,183,51,151,11
Ryan Bertrand,33,Defender,Southampton,Sixteen_Twenty,16,15,2160,1170,990,England,Yes,24,13,11,1,1,0,0,0,0,0,0,6,3,3,36,15,21,8,0,0.04,0,0.04,0.08,0,2160,1.5,60,90,270,0,0.33,245,366,117,13
Stuart Armstrong,30,Midfielder,Southampton,Sixteen_Twenty,16,8,1432,469,963,Scotland,No,29,11,18,3,1,2,2,1,1,0,0,4,1,3,23,8,15,2,0,0.31,0.13,0.19,0.19,0.19,477,1.45,62,49,716,716,0.13,98,114,-1,6
Glenn Murray,39,Forward,Brighton & Hove Albion,Sixteen_Twenty,17,3,2513,1383,1130,England,Yes,38,19,19,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2513,0.18,24,227,-1,1
Lewis Dunk,30,Defender,Brighton & Hove Albion,Sixteen_Twenty,17,12,3153,1550,1603,England,Yes,36,18,18,2,0,2,1,0,1,0,0,7,5,2,53,24,29,7,1,0.09,0.03,0.06,0,0.11,1577,1.51,59,88,450,3153,0.2,203,252,120,5
Martín Montoya,31,Defender,Brighton & Hove Albion,Sixteen_Twenty,17,8,2166,1176,990,Spain,No,25,14,11,0,0,0,1,0,1,0,0,3,3,0,38,18,20,4,0,0.04,0.04,0,0,0,0,1.58,57,87,542,2166,0.17,294,229,128,13
Mathew Ryan,30,Goalkeeper,Brighton & Hove Albion,Sixteen_Twenty,17,10,3060,1530,1530,Australia,No,34,17,17,0,0,0,0,0,0,0,0,6,4,2,52,25,27,2,0,0,0,0,0,0,0,1.53,59,90,1530,0,0.06,398,389,122,15
Yves Bissouma,26,Midfielder,Brighton & Hove Albion,Sixteen_Twenty,17,15,1769,747,1022,Mali,No,28,13,15,0,0,0,0,0,0,0,0,5,4,1,30,14,16,5,0,0,0,0,0,0,0,1.53,59,63,354,0,0.25,402,293,-1,17
Aron Einar Gunnarsson,33,Midfielder,Cardiff City,Sixteen_Twenty,18,2.5,2274,1240,1034,Iceland,No,28,14,14,1,1,0,1,1,0,0,0,8,4,4,37,20,17,5,0,0.08,0.04,0.04,0.07,0,2274,1.46,61,81,455,2274,0.2,232,234,-1,9
David Junior Hoilett,32,Forward,Cardiff City,Sixteen_Twenty,18,4.5,2142,1008,1134,Canada,No,32,17,15,3,2,1,1,0,1,0,0,9,5,4,42,20,22,4,0,0.17,0.04,0.13,0.18,0.08,714,1.76,51,67,536,2142,0.17,137,220,-1,7
Joe Bennett,32,Defender,Cardiff City,Sixteen_Twenty,18,3,2641,1142,1499,England,Yes,30,13,17,0,0,0,1,1,0,0,0,9,5,4,43,18,25,5,0,0.03,0.03,0,0,0,0,1.47,61,88,528,2641,0.17,324,241,112,23
Lee Peltier,35,Defender,Cardiff City,Sixteen_Twenty,18,1.5,1542,521,1021,England,Yes,20,7,13,0,0,0,0,0,0,0,0,6,2,4,21,9,12,4,0,0,0,0,0,0,0,1.23,73,77,386,0,0.23,352,391,72,21
Neil Leonard Dula Etheridge,32,Goalkeeper,Cardiff City,Sixteen_Twenty,18,8,3420,1710,1710,Philippines,No,38,19,19,0,0,0,0,0,0,0,0,10,5,5,61,34,27,2,0,0,0,0,0,0,0,1.61,56,90,1710,0,0.05,363,392,134,17
Sean Morrison,31,Defender,Cardiff City,Sixteen_Twenty,18,5,3040,1600,1440,England,Yes,34,18,16,1,0,1,3,2,1,0,0,9,4,5,57,34,23,6,0,0.12,0.09,0.03,0,0.06,3040,1.69,53,89,507,1013,0.18,255,164,140,8
